team,player_number,position,birth_date,shirt_name,club_name,height,weight,league,age,name,caps
Denmark,20,FW,6/15/1994,YURARY,RB Leipzig,193,84,GER,23.99726027,Yussuf Poulsen,28
Denmark,21,FW,3/16/1993,CORNELIUS,Atalanta Bergamo,195,91,ITA,25.24657534,Andreas Cornelius,18
Denmark,22,GK,8/4/1992,RØNNOW,Brondby IF,190,85,DEN,25.86027397,Frederik Rønnow,6
Denmark,23,FW,2/4/1995,SISTO,Celta Vigo,173,69,ESP,23.35616438,Pione Sisto,14
Egypt,1,GK,1/15/1973,ELHADARY,Al Taawoun FC,190,90,KSA,45.4109589,Essam El-Hadary,158
Egypt,2,DF,1/1/1989,ALI GABR,West Bromwich Albion FC,191,88,ENG,29.44931507,Ali Gabr,21
Egypt,3,DF,9/9/1987,ELMOHAMADY,Aston Villa FC,183,76,ENG,30.76164384,Ahmed Elmohamady,78
Egypt,4,MF,1/30/1992,O. GABER,Los Angeles FC,175,71,USA,26.36986301,Omar Gaber,24
Egypt,5,MF,9/10/1991,MORSY,Wigan Athletic FC,173,75,ENG,26.75890411,Sam Morsy,5
Egypt,6,DF,1/25/1991,A. HEGAZY,West Bromwich Albion FC,194,95,ENG,27.38356164,Ahmed Hegazi,45
Egypt,7,DF,11/10/1984,A. FATHI,Al Ahly SC,176,76,EGY,33.59178082,Ahmed Fathy,126
Egypt,8,MF,10/24/1988,TAREK HAMED,Zamalek,169,67,EGY,29.63835616,Tarek Hamed,21
Egypt,9,FW,2/26/1989,MARWAN,Al Ahly SC,185,81,EGY,29.29589041,Marwan Mohsen,24
Egypt,10,FW,6/15/1992,M SALAH,Liverpool FC,175,71,ENG,25.99726027,Mohamed Salah,57
Egypt,11,FW,4/13/1994,M. KAHRABA,Al-Ittihad FC,182,76,KSA,24.16986301,Kahraba,19
Egypt,12,DF,4/9/1991,A. ASHRAF,Al Ahly SC,176,73,EGY,27.18082192,Ayman Ashraf,4
Egypt,13,DF,7/1/1985,ABDELSHAFY,Al Fateh FC,171,72,KSA,32.95342466,Mohamed Abdel-Shafy,51
Egypt,14,FW,1/23/1997,RAMADAN,Stoke City FC,183,77,ENG,21.3890411,Ramadan Sobhi,23
Egypt,15,DF,6/1/1995,M. HAMDY,Zamalek,173,72,EGY,23.03561644,Mahmoud Hamdy,0
Egypt,16,GK,7/10/1983,EKRAMY,Al Ahly SC,193,93,EGY,34.92876712,Sherif Ekramy,22
Egypt,17,MF,7/11/1992,M. ELNENY,Arsenal FC,181,74,ENG,25.9260274,Mohamed Elneny,61
Egypt,18,FW,3/5/1986,SHIKABALA,Al Raed SC,183,80,KSA,32.27671233,Shikabala,29
Egypt,19,MF,7/13/1985,ABDALLA,Kuopion PS,176,75,FIN,32.92054795,Abdallah Said,36
Egypt,20,DF,4/1/1989,S. SAMIR,Al Ahly SC,183,82,EGY,29.20273973,Saad Samir,11
Egypt,21,MF,10/1/1994,M. TREZEGUET,Kasimpasa SK,181,77,TUR,23.70136986,Trézéguet,24
Egypt,22,FW,9/17/1993,WARDA,Atromitos FC,179,77,GRE,24.73972603,Amr Warda,16
Egypt,23,GK,12/18/1988,M. ELSHENAWY,Al Ahly SC,191,86,EGY,29.48767123,Mohamed El-Shenawy,3
England,1,GK,3/7/1994,PICKFORD,Everton FC,185,72,ENG,24.27123288,Jordan Pickford,3
England,2,DF,5/28/1990,WALKER,Manchester City FC,178,83,ENG,28.04657534,Kyle Walker,35
England,3,DF,7/2/1990,ROSE,Tottenham Hotspur FC,173,76,ENG,27.95068493,Danny Rose,18
England,4,MF,1/15/1994,DIER,Tottenham Hotspur FC,188,90,ENG,24.4109589,Eric Dier,26
England,5,DF,5/28/1994,STONES,Manchester City FC,188,72,ENG,24.04657534,John Stones,26
England,6,DF,3/5/1993,MAGUIRE,Leicester City FC,193,98,ENG,25.27671233,Harry Maguire,5
England,7,MF,12/15/1992,LINGARD,Manchester United FC,175,60,ENG,25.49589041,Jesse Lingard,12
England,8,MF,6/17/1990,HENDERSON,Liverpool FC,183,82,ENG,27.99178082,Jordan Henderson,39
England,9,FW,7/28/1993,KANE,Tottenham Hotspur FC,188,98,ENG,24.87945205,Harry Kane,24
England,10,FW,12/8/1994,STERLING,Manchester City FC,170,70,ENG,23.51506849,Raheem Sterling,38
England,11,FW,1/11/1987,VARDY,Leicester City FC,178,80,ENG,31.42191781,Jamie Vardy,22
England,12,DF,9/19/1990,TRIPPIER,Tottenham Hotspur FC,178,72,ENG,27.73424658,Kieran Trippier,7
England,13,GK,3/10/1993,BUTLAND,Stoke City FC,196,96,ENG,25.2630137,Jack Butland,8
England,14,FW,11/26/1990,WELBECK,Arsenal FC,184,78,ENG,27.54794521,Danny Welbeck,39
England,15,DF,12/19/1985,CAHILL,Chelsea FC,191,85,ENG,32.48493151,Gary Cahill,60
England,16,DF,2/21/1992,JONES,Manchester United FC,182,72,ENG,26.30958904,Phil Jones,25
England,17,DF,11/21/1989,DELPH,Manchester City FC,174,78,ENG,28.56164384,Fabian Delph,11
England,18,DF,7/9/1985,YOUNG,Manchester United FC,175,78,ENG,32.93150685,Ashley Young,34
England,19,FW,10/31/1997,RASHFORD,Manchester United FC,180,78,ENG,20.61917808,Marcus Rashford,19
England,20,MF,4/11/1996,DELE,Tottenham Hotspur FC,188,76,ENG,22.17534247,Dele Alli,25
England,21,MF,1/23/1996,LOFTUS-CHEEK,Chelsea FC,190,73,ENG,22.3890411,Ruben Loftus-Cheek,4
England,22,DF,10/7/1998,ALEXANDER-ARNOLD,Liverpool FC,175,70,ENG,19.68493151,Trent Alexander-Arnold,1
England,23,GK,4/19/1992,POPE,Burnley FC,191,76,ENG,26.15342466,Nick Pope,1
France,1,GK,12/26/1986,LLORIS,Tottenham Hotspur FC,188,82,ENG,31.46575342,Hugo Lloris,98
France,2,DF,3/28/1996,PAVARD,VfB Stuttgart,186,76,GER,22.21369863,Benjamin Pavard,6
France,3,DF,8/13/1995,KIMPEMBE,Paris Saint-Germain FC,182,78,FRA,22.83561644,Presnel Kimpembe,2
France,4,DF,4/25/1993,VARANE,Real Madrid CF,191,79,ESP,25.1369863,Raphaël Varane,42
France,5,DF,11/14/1993,UMTITI,FC Barcelona,183,84,ESP,24.58082192,Samuel Umtiti,19
France,6,MF,3/15/1993,POGBA,Manchester United FC,191,86,ENG,25.24931507,Paul Pogba,54
France,7,FW,3/21/1991,GRIEZMANN,Atletico Madrid,174,72,ESP,27.23287671,Antoine Griezmann,54
France,8,FW,11/12/1995,LEMAR,AS Monaco,172,65,FRA,22.58630137,Thomas Lemar,12
France,9,FW,9/30/1986,GIROUD,Chelsea FC,193,91,ENG,31.70410959,Olivier Giroud,74
France,10,FW,12/20/1998,MBAPPE,Paris Saint-Germain FC,178,78,FRA,19.48219178,Kylian Mbappé,15
France,11,FW,5/15/1997,DEMBELE,FC Barcelona,178,70,ESP,21.08219178,Ousmane Dembélé,12
France,12,MF,8/3/1994,TOLISSO,FC Bayern München,180,82,GER,23.8630137,Corentin Tolisso,9
France,13,MF,3/29/1991,KANTE,Chelsea FC,168,70,ENG,27.2109589,N'Golo Kanté,24
France,14,MF,4/9/1987,MATUIDI,Juventus FC,180,74,ITA,31.18082192,Blaise Matuidi,67
France,15,MF,12/15/1988,NZONZI,Sevilla FC,197,87,ESP,29.49589041,Steven Nzonzi,4
France,16,GK,3/28/1985,MANDANDA,Olympique Marseille,187,88,FRA,33.21369863,Steve Mandanda,27
France,17,DF,12/27/1985,RAMI,Olympique Marseille,190,90,FRA,32.4630137,Adil Rami,35
France,18,FW,7/18/1993,FEKIR,Olympique Lyon,173,76,FRA,24.90684932,Nabil Fekir,12
France,19,DF,7/29/1992,SIDIBE,AS Monaco,184,81,FRA,25.87671233,Djibril Sidibé,17
France,20,FW,1/26/1993,THAUVIN,Olympique Marseille,180,76,FRA,25.38082192,Florian Thauvin,4
France,21,DF,2/14/1996,HERNANDEZ,Atletico Madrid,183,76,ESP,22.32876712,Lucas Hernández,5
France,22,DF,7/17/1994,MENDY,Manchester City FC,183,84,ENG,23.90958904,Benjamin Mendy,7
France,23,GK,2/27/1993,AREOLA,Paris Saint-Germain FC,195,95,FRA,25.29315068,Alphonse Areola,0
Germany,1,GK,3/27/1986,NEUER,FC Bayern München,193,93,GER,32.21643836,Manuel Neuer,76
Germany,2,DF,1/26/1992,PLATTENHARDT,Hertha BSC,181,76,GER,26.38082192,Marvin Plattenhardt,6
Germany,3,DF,5/27/1990,HECTOR,1. FC Köln,185,75,GER,28.04931507,Jonas Hector,38
Germany,4,DF,1/19/1994,GINTER,VfL Borussia Mönchengladbach,189,85,GER,24.4,Matthias Ginter,18
Germany,5,DF,12/16/1988,HUMMELS,FC Bayern München,192,90,GER,29.49315068,Mats Hummels,64
Germany,6,MF,4/4/1987,KHEDIRA,Juventus FC,189,81,ITA,31.19452055,Sami Khedira,75
Germany,7,MF,9/20/1993,DRAXLER,Paris Saint-Germain FC,185,74,FRA,24.73150685,Julian Draxler,44
Germany,8,MF,1/4/1990,KROOS,Real Madrid CF,182,78,ESP,28.44109589,Toni Kroos,83
Germany,9,FW,3/6/1996,WERNER,RB Leipzig,181,75,GER,22.2739726,Timo Werner,14
Germany,10,MF,10/15/1988,ÖZIL,Arsenal FC,180,70,ENG,29.6630137,Mesut Özil,90
Germany,11,FW,5/31/1989,REUS,Borussia Dortmund,180,67,GER,29.03835616,Marco Reus,31
Germany,12,GK,7/8/1990,TRAPP,Paris Saint-Germain FC,189,88,FRA,27.93424658,Kevin Trapp,3
Germany,13,MF,9/13/1989,MÜLLER,FC Bayern München,186,75,GER,28.75068493,Thomas Müller,91
Germany,14,MF,2/6/1995,GORETZKA,FC Schalke 04,189,76,GER,23.35068493,Leon Goretzka,15
Germany,15,DF,9/3/1995,SÜLE,FC Bayern München,195,89,GER,22.77808219,Niklas Süle,11
Germany,16,DF,3/3/1993,RÜDIGER,Chelsea FC,191,85,ENG,25.28219178,Antonio Rüdiger,24
Germany,17,DF,9/3/1988,BOATENG,FC Bayern München,192,90,GER,29.77808219,Jérôme Boateng,71
Germany,18,DF,2/8/1995,KIMMICH,FC Bayern München,176,72,GER,23.34520548,Joshua Kimmich,29
Germany,19,MF,2/28/1990,RUDY,FC Bayern München,179,74,GER,28.29041096,Sebastian Rudy,25
Germany,20,MF,5/2/1996,BRANDT,Bayer 04 Leverkusen,183,82,GER,22.11780822,Julian Brandt,16
Germany,21,MF,10/24/1990,GÜNDOGAN,Manchester City FC,180,79,ENG,27.63835616,İlkay Gündoğan,26
Germany,22,GK,4/30/1992,TER STEGEN,FC Barcelona,187,85,ESP,26.12328767,Marc-André ter Stegen,20
Germany,23,FW,7/10/1985,GOMEZ,VfB Stuttgart,189,82,GER,32.92876712,Mario Gómez,75
Iceland,1,GK,4/27/1984,HALLDORSSON,Randers FC,193,88,DEN,34.13150685,Hannes Þór Halldórsson,49
Iceland,2,DF,11/11/1984,SÆVARSSON,Valur Reykjavik,186,75,ISL,33.5890411,Birkir Már Sævarsson,79
Iceland,3,MF,2/22/1996,FRIDJÓNSSON,Valerenga IF,185,78,NOR,22.30684932,Samúel Friðjónsson,4
Iceland,4,MF,6/15/1997,A. GUDMUNDSSON,PSV Eindhoven,177,80,NED,20.99726027,Albert Guðmundsson,5
Iceland,5,DF,8/5/1993,INGASON,FC Rostov,188,80,RUS,24.85753425,Sverrir Ingi Ingason,20
Iceland,6,DF,6/19/1986,R. SIGURDSSON,FC Rostov,187,86,RUS,31.98630137,Ragnar Sigurðsson,77
Iceland,7,MF,10/27/1990,J. GUDMUNDSSON,Burnley FC,179,77,ENG,27.63013699,Jóhann Berg Guðmundsson,67
Iceland,8,MF,5/27/1988,B. BJARNASON,Aston Villa FC,183,77,ENG,30.04931507,Birkir Bjarnason,67
Iceland,9,FW,2/26/1991,SIGURDARSON,FC Rostov,187,85,RUS,27.29589041,Björn Bergmann Sigurðarson,12
Iceland,10,MF,9/8/1989,G. SIGURDSSON,Everton FC,186,82,ENG,28.76438356,Gylfi Sigurðsson,57
Iceland,11,FW,2/1/1989,FINNBOGASON,FC Augsburg,185,79,GER,29.36438356,Alfreð Finnbogason,47
Iceland,12,GK,1/19/1995,SCHRAM,Roskilde BK,198,92,DEN,23.4,Frederik Schram,4
Iceland,13,GK,2/18/1995,RÚNARSSON,FC Nordsjaelland,186,76,DEN,23.31780822,Rúnar Alex Rúnarsson,3
Iceland,14,DF,10/13/1982,ARNASON,Aberdeen FC,191,82,SCO,35.66849315,Kári Árnason,67
Iceland,15,DF,8/6/1990,EYJÓLFSSON,Levski Sofia,188,81,BUL,27.85479452,Hólmar Örn Eyjólfsson,10
Iceland,16,MF,4/1/1983,Ó. SKÚLASON,Karabukspor,184,79,TUR,35.20273973,Ólafur Ingi Skúlason,36
Iceland,17,MF,4/22/1989,GUNNARSSON,Cardiff City FC,181,86,WAL,29.14520548,Aron Gunnarsson,77
Iceland,18,DF,2/11/1993,MAGNÚSSON,Bristol City FC,191,85,ENG,25.3369863,Hörður Björgvin Magnússon,16
Iceland,19,MF,2/25/1988,GISLASON,SV Sandhausen,184,78,GER,30.29863014,Rúrik Gíslason,47
Iceland,20,MF,6/29/1984,HALLFREDSSON,Udinese Calcio,186,86,ITA,33.95890411,Emil Hallfreðsson,64
Iceland,21,MF,4/30/1993,TRAUSTASON,Malmö FF,183,73,SWE,25.12328767,Arnór Ingvi Traustason,19
Iceland,22,FW,5/25/1992,BÖDVARSSON,Reading FC,189,89,ENG,26.05479452,Jón Daði Böðvarsson,38
Iceland,23,DF,5/14/1987,A. SKÚLASON,KSC Lokeren,170,63,BEL,31.08493151,Ari Freyr Skúlason,56
Iran,1,GK,9/21/1992,A. BEIRANVAND,Persepolis FC,194,85,IRN,25.72876712,Alireza Beiranvand,22
Iran,2,MF,9/10/1994,M. TORABI,Saipa Alborz FC,185,71,IRN,23.75890411,Mehdi Torabi,17
Iran,3,DF,2/25/1990,HAJI SAFI,Olympiacos Piraeus FC,178,75,GRE,28.29863014,Ehsan Hajsafi,94
Iran,4,DF,7/24/1993,R. CHESHMI,Esteghlal Tehran FC,192,80,IRN,24.89041096,Rouzbeh Cheshmi,10
Iran,5,DF,9/29/1993,M. MOHAMMADI,FC Akhmat Grozny,178,69,RUS,24.70684932,Milad Mohammadi,19
Iran,6,MF,10/1/1996,S. EZATOLAHI,FK Amkar Perm,190,82,RUS,21.70136986,Saeid Ezatolahi,25
Iran,7,MF,6/9/1984,SHOJAEI M.,AEK Athens,187,79,GRE,34.01369863,Masoud Shojaei,74
Iran,8,DF,4/19/1992,M. POURALIGANJI,Al Sadd SC,187,83,QAT,26.15342466,Morteza Pouraliganji,27
Iran,9,MF,9/16/1987,OMID,Esteghlal Tehran FC,178,75,IRN,30.74246575,Omid Ebrahimi,30
Iran,10,FW,4/3/1990,KARIM,Olympiacos Piraeus FC,187,80,GRE,28.19726027,Karim Ansarifard,64
Iran,11,MF,4/2/1988,V. AMIRI,Persepolis FC,179,71,IRN,30.2,Vahid Amiri,36
Iran,12,GK,5/18/1989,RASHID,Zob Ahan Isfahan FC,192,84,IRN,29.0739726,Mohammad Rashid Mazaheri,3
Iran,13,DF,5/11/1991,M.R. KHANZADEH,Padideh FC,186,80,IRN,27.09315068,Mohammad Reza Khanzadeh,11
Iran,14,FW,9/6/1993,GHODDOS,IFK Östersund FK,177,79,SWE,24.76986301,Saman Ghoddos,8
Iran,15,DF,9/6/1983,P. MONTAZERI,Esteghlal Tehran FC,185,77,IRN,34.76986301,Pejman Montazeri,46
Iran,16,FW,9/20/1987,REZA,SC Heerenveen,180,79,NED,30.73150685,Reza Ghoochannejhad,43
Iran,17,FW,7/18/1992,MEHDI,Al Gharafa SC,187,80,QAT,25.90684932,Mehdi Taremi,26
Iran,18,FW,8/11/1993,A. JAHANBAKHSH,AZ Alkmaar,180,77,NED,24.84109589,Alireza Jahanbakhsh,38
Iran,19,DF,6/20/1996,M. HOSSEINI,Esteghlal Tehran FC,183,78,IRN,21.98356164,Majid Hosseini,1
Iran,20,FW,1/1/1995,SARDAR,FC Rubin Kazan,186,80,RUS,23.44931507,Sardar Azmoun,33
Iran,21,FW,7/5/1986,DEJAGAH,Nottingham Forest FC,181,78,ENG,31.94246575,Ashkan Dejagah,46
Iran,22,GK,4/26/1993,ABEDZADEH,CS Maritimo,186,80,POR,25.13424658,Amir Abedzadeh,1
Iran,23,DF,3/21/1990,RAMIN,KV Oostende,185,75,BEL,28.23287671,Ramin Rezaeian,28
Japan,1,GK,3/20/1983,KAWASHIMA,FC Metz,185,74,FRA,35.23561644,Eiji Kawashima,84
Japan,2,DF,10/24/1994,UEDA,Kashima Antlers,186,79,JPN,23.63835616,Naomichi Ueda,4
Japan,3,DF,12/11/1992,SHOJI,Kashima Antlers,182,74,JPN,25.50684932,Gen Shoji,11
Japan,4,MF,6/13/1986,HONDA,CF Pachuca,182,74,MEX,32.00273973,Keisuke Honda,95
Japan,5,DF,9/12/1986,NAGATOMO,Galatasaray SK,170,68,TUR,31.75342466,Yuto Nagatomo,105
Japan,6,DF,2/9/1993,ENDO,Urawa Reds,178,75,JPN,25.34246575,Wataru Endo,12
Japan,7,MF,5/28/1992,SHIBASAKI,Getafe CF,175,64,ESP,26.04657534,Gaku Shibasaki,18
Japan,8,MF,5/9/1991,HARAGUCHI,Fortuna Düsseldorf,178,68,GER,27.09863014,Genki Haraguchi,33
Japan,9,FW,4/16/1986,OKAZAKI,Leicester City FC,174,70,ENG,32.16164384,Shinji Okazaki,113
Japan,10,MF,3/17/1989,KAGAWA,Borussia Dortmund,175,68,GER,29.24383562,Shinji Kagawa,92
Japan,11,MF,5/6/1992,USAMI,Fortuna Düsseldorf,178,72,GER,26.10684932,Takashi Usami,24
Japan,12,GK,5/12/1986,HIGASHIGUCHI,Gamba Osaka,184,78,JPN,32.09041096,Masaaki Higashiguchi,5
Japan,13,FW,7/15/1992,MUTO,FSV Mainz 05,179,72,GER,25.91506849,Yoshinori Muto,24
Japan,14,MF,6/2/1988,INUI,SD Eibar,169,59,ESP,30.03287671,Takashi Inui,27
Japan,15,FW,5/18/1990,OSAKO,1. FC Köln,182,71,GER,28.0739726,Yuya Osako,29
Japan,16,MF,10/6/1990,YAMAGUCHI,Cerezo Osaka,173,72,JPN,27.68767123,Hotaru Yamaguchi,42
Japan,17,MF,1/18/1984,HASEBE,Eintracht Frankfurt,180,72,GER,34.40273973,Makoto Hasebe,110
Japan,18,MF,1/23/1993,OHSHIMA,Kawasaki Frontale,168,64,JPN,25.3890411,Ryota Oshima,5
Japan,19,DF,4/12/1990,H. SAKAI,Olympique Marseille,183,70,FRA,28.17260274,Hiroki Sakai,43
Japan,20,DF,5/11/1987,MAKINO,Urawa Reds,182,77,JPN,31.09315068,Tomoaki Makino,32
Japan,21,DF,3/14/1991,G. SAKAI,Hamburger SV,176,74,GER,27.25205479,Gōtoku Sakai,41
Japan,22,DF,8/24/1988,YOSHIDA,Southampton FC,189,78,ENG,29.80547945,Maya Yoshida,82
Japan,23,GK,2/27/1995,NAKAMURA,Kashiwa Reysol,184,72,JPN,23.29315068,Kosuke Nakamura,4
South Korea,1,GK,9/30/1990,S G KIM,Vissel Kobe,187,80,JPN,27.70410959,Kim Seung-gyu,33
South Korea,2,DF,12/24/1986,Y LEE,Jeonbuk Hyundai,180,74,KOR,31.47123288,Lee Yong,28
South Korea,3,DF,4/3/1994,S H JUNG,Sagan Tosu FC,188,74,JPN,24.19726027,Jung Seung-hyun,6
South Korea,4,DF,5/20/1988,B S OH,Jeju United,189,79,KOR,30.06849315,Oh Ban-suk,2
South Korea,5,DF,10/4/1988,Y S YUN,Seongnam FC,185,78,KOR,29.69315068,Yun Young-sun,6
South Korea,6,DF,1/16/1987,J H PARK,Ulsan Hyundai FC,174,71,KOR,31.40821918,Park Joo-ho,36
South Korea,7,FW,7/8/1992,H M SON,Tottenham Hotspur FC,183,76,ENG,25.93424658,Son Heung-min,67
South Korea,8,MF,10/30/1990,S J JU,Asan Mugunghwa FC,176,70,KOR,27.62191781,Ju Se-jong,11
South Korea,9,FW,4/14/1988,S W KIM,Jeonbuk Hyundai,197,97,KOR,30.16712329,Kim Shin-wook,50
South Korea,10,MF,1/6/1998,S W LEE,Hellas Verona FC,170,63,ITA,20.43561644,Lee Seung-woo,4
South Korea,11,FW,1/26/1996,H C HWANG,FC Red Bull Salzburg,177,77,AUT,22.38082192,Hwang Hee-chan,14
South Korea,12,DF,2/25/1990,M W KIM,Sangju Sangmu FC,172,69,KOR,28.29863014,Kim Min-woo,20
South Korea,13,MF,2/27/1989,J C KOO,FC Augsburg,182,73,GER,29.29315068,Koo Ja-cheol,68
South Korea,14,DF,9/17/1990,C HONG,Sangju Sangmu FC,176,67,KOR,27.73972603,Hong Chul,14
South Korea,15,MF,12/14/1989,W Y JUNG,Vissel Kobe,186,78,JPN,28.49863014,Jung Woo-young,30
South Korea,16,MF,1/24/1989,S Y KI,Swansea City AFC,186,75,WAL,29.38630137,Ki Sung-yueng,102
South Korea,17,MF,8/10/1992,J S LEE,Jeonbuk Hyundai,180,70,KOR,25.84383562,Lee Jae-sung,35
South Korea,18,MF,6/9/1992,S M MOON,Incheon United FC,172,68,KOR,26.01369863,Moon Seon-min,3
South Korea,19,DF,2/27/1990,Y G KIM,Guangzhou Evergrande FC,184,74,CHN,28.29315068,Kim Young-gwon,53
South Korea,20,DF,9/28/1991,H S JANG,FC Tokyo,187,77,JPN,26.70958904,Jang Hyun-soo,51
